"FID","AREA_S_CD","AREA_NAME","Neighbourhood","Arsons","Assaults","Break & Enters","Drug Arrests","Fire Medical Calls","Fire Vehicle Incidents","Fires & Fire Alarms","Hazardous Incidents","Murders","Robberies","Sexual Assaults","Thefts","Total Major Crime Incidents","Vehicle Thefts","id","Equity_Score"
79,"129","Agincourt North (129)","Agincourt North",0,74,105,20,413,89,130,60,0,54,6,4,296,33,"129",54.67
80,"128","Agincourt South-Malvern West (128)","Agincourt South-Malvern West",2,141,110,20,558,125,233,66,0,44,24,5,380,36,"128",53.43
86,"020","Alderwood (20)","Alderwood",0,49,77,13,331,66,110,54,0,12,15,4,189,19,"020",63.88
56,"095","Annex (95)","Annex",2,272,155,33,1526,161,777,257,1,38,46,20,604,39,"095",78.6
84,"042","Banbury-Don Mills (42)","Banbury-Don Mills",1,97,88,21,908,149,299,131,0,10,17,23,279,23,"042",73.19
85,"034","Bathurst Manor (34)","Bathurst Manor",2,56,58,9,675,89,167,108,0,9,8,5,170,25,"034",58.41
93,"076","Bay Street Corridor (76)","Bay Street Corridor",2,554,129,108,2027,189,1203,179,0,124,47,29,1017,26,"076",77.07
113,"052","Bayview Village (52)","Bayview Village",1,42,37,10,481,81,147,96,0,16,3,6,132,18,"052",71.65
45,"049","Bayview Woods-Steeles (49)","Bayview Woods-Steeles",0,25,36,4,388,29,128,52,0,5,10,1,96,15,"049",62.37
114,"039","Bedford Park-Nortown (39)","Bedford Park-Nortown",2,71,219,4,895,162,323,192,1,16,4,18,375,42,"039",81.55
68,"112","Beechborough-Greenbrook (112)","Beechborough-Greenbrook",2,116,26,38,347,46,147,47,1,19,12,4,222,6,"112",26.54
88,"127","Bendale (127)","Bendale",1,232,93,51,960,174,264,129,0,65,25,10,546,70,"127",47.72
89,"122","Birchcliffe-Cliffside (122)","Birchcliffe-Cliffside",2,208,105,26,771,70,276,132,0,39,4,9,411,20,"122",60.28
94,"024","Black Creek (24)","Black Creek",2,242,75,90,786,99,263,169,1,65,36,4,572,59,"024",21.38
102,"069","Blake-Jones (69)","Blake-Jones",2,108,46,25,213,3,93,43,0,16,12,1,221,13,"069",58.07
139,"108","Briar Hill-Belgravia (108)","Briar Hill-Belgravia",1,115,36,33,539,46,133,106,1,25,17,3,259,29,"108",57.81
116,"041","Bridle Path-Sunnybrook-York Mills (41)","Bridle Path-Sunnybrook-York Mills",0,16,50,2,305,32,290,92,0,11,10,4,104,11,"041",83.04
29,"057","Broadview North (57)","Broadview North",1,106,24,20,302,66,102,64,0,9,15,3,186,9,"057",53.69
120,"030","Brookhaven-Amesbury (30)","Brookhaven-Amesbury",3,143,58,33,457,31,178,86,0,32,52,6,371,47,"030",43.07
99,"071","Cabbagetown-South St.James Town (71)","Cabbagetown-South St.James Town",1,84,76,39,668,66,369,100,0,32,10,0,253,12,"071",74.42
57,"109","Caledonia-Fairbank (109)","Caledonia-Fairbank",0,94,28,16,250,15,45,28,0,6,17,1,170,8,"109",44.65
50,"096","Casa Loma (96)","Casa Loma",1,33,41,3,444,55,236,81,0,4,2,4,91,4,"096",82.31
21,"133","Centennial Scarborough (133)","Centennial Scarborough",1,50,27,2,243,43,52,52,0,9,4,2,107,13,"133",70.75
22,"075","Church-Yonge Corridor (75)","Church-Yonge Corridor",2,535,143,99,2631,181,1110,257,1,124,60,13,1006,31,"075",67.92
23,"120","Clairlea-Birchmount (120)","Clairlea-Birchmount",3,285,116,38,1190,102,296,156,2,44,24,8,583,66,"120",48.34
46,"033","Clanton Park (33)","Clanton Park",1,121,60,15,353,95,148,97,1,30,12,10,291,42,"033",69.53
24,"123","Cliffcrest (123)","Cliffcrest",1,131,44,30,478,40,161,125,0,59,14,4,289,7,"123",55.95
